User_Input,US_State_Territory_Name,USPS_Code,ISO_Code_2,ISO_Code_3,ISO_Code_Num,ISO_Code_Hyphen,Classification,Input_Type,USER_INPUT_IS_UNIQUE
Alabama,Alabama,AL,US-AL,,,,State,Source,TRUE
Alaska,Alaska,AK,US-AK,,,,State,Source,TRUE
Arizona,Arizona,AZ,US-AZ,,,,State,Source,TRUE
Arkansas,Arkansas,AR,US-AR,,,,State,Source,TRUE
California,California,CA,US-CA,,,,State,Source,TRUE
Colorado,Colorado,CO,US-CO,,,,State,Source,TRUE
Connecticut,Connecticut,CT,US-CT,,,,State,Source,TRUE
Delaware,Delaware,DE,US-DE,,,,State,Source,TRUE
District of Columbia,District of Columbia,DC,US-DC,,,,Federal district,Source,TRUE
Florida,Florida,FL,US-FL,,,,State,Source,TRUE
Georgia,Georgia,GA,US-GA,,,,State,Source,TRUE
Hawaii,Hawaii,HI,US-HI,,,,State,Source,TRUE
Idaho,Idaho,ID,US-ID,,,,State,Source,TRUE
Illinois,Illinois,IL,US-IL,,,,State,Source,TRUE
Indiana,Indiana,IN,US-IN,,,,State,Source,TRUE
Iowa,Iowa,IA,US-IA,,,,State,Source,TRUE
Kansas,Kansas,KS,US-KS,,,,State,Source,TRUE
Kentucky,Kentucky,KY,US-KY,,,,State,Source,TRUE
Louisiana,Louisiana,LA,US-LA,,,,State,Source,TRUE
Maine,Maine,ME,US-ME,,,,State,Source,TRUE
Maryland,Maryland,MD,US-MD,,,,State,Source,TRUE
Massachusetts,Massachusetts,MA,US-MA,,,,State,Source,TRUE
Michigan,Michigan,MI,US-MI,,,,State,Source,TRUE
Minnesota,Minnesota,MN,US-MN,,,,State,Source,TRUE
Mississippi,Mississippi,MS,US-MS,,,,State,Source,TRUE
Missouri,Missouri,MO,US-MO,,,,State,Source,TRUE
Montana,Montana,MT,US-MT,,,,State,Source,TRUE
Nebraska,Nebraska,NE,US-NE,,,,State,Source,TRUE
Nevada,Nevada,NV,US-NV,,,,State,Source,TRUE
New Hampshire,New Hampshire,NH,US-NH,,,,State,Source,TRUE
New Jersey,New Jersey,NJ,US-NJ,,,,State,Source,TRUE
New Mexico,New Mexico,NM,US-NM,,,,State,Source,TRUE
New York,New York,NY,US-NY,,,,State,Source,TRUE
North Carolina,North Carolina,NC,US-NC,,,,State,Source,TRUE
North Dakota,North Dakota,ND,US-ND,,,,State,Source,TRUE
Ohio,Ohio,OH,US-OH,,,,State,Source,TRUE
Oklahoma,Oklahoma,OK,US-OK,,,,State,Source,TRUE
